16
4 2
2 4
3 4
1 2
11 1
10 4
10 6
14 1
4 12
5 13
3 12
2 9
11 14
12 14
10 10
14 10
47
11 1 0
14 1 0
1 2 0
4 2 0
15 3 0
2 5 0
3 5 0
10 5 0
0 6 0
7 7 0
8 7 0
10 7 0
2 9 0
7 9 0
8 9 0
14 10 0
10 11 0
4 12 0
3 13 0
15 13 0
0 14 0
5 14 0
11 14 0
12 15 0
1 2 3
2 9 3
3 4 3
3 12 3
3 15 3
5 0 3
5 2 3
5 12 3
6 13 3
7 7 3
7 8 3
9 7 3
9 8 3
10 6 3
10 10 3
11 0 3
11 4 3
12 1 3
12 14 3
13 14 3
13 15 3
14 1 3
14 10 3
17
4 1
13 1
1 2
9 2
6 3
14 5
3 6
11 6
5 8
1 9
14 9
4 10
8 10
13 11
5 13
10 13
3 14

50
7 7 0
7 7 3
8 7 0
8 7 1
7 8 2
7 8 3
8 8 1
8 8 2
1 0 1
11 0 1
15 3 2
0 5 2
15 10 2
0 11 2
6 15 1
11 15 1
4 1 0
4 1 3
13 1 0
13 1 3
1 2 0
1 2 1
9 2 1
9 2 2
6 3 1
6 3 2
14 5 2
14 5 3
3 6 2
3 6 3
11 6 0
11 6 1
5 8 0
5 8 1
1 9 1
1 9 2
14 9 1 
14 9 2
4 10 2
4 10 3
8 10 0
8 10 1
13 11 2
13 11 3
5 13 0
5 13 1
10 13 0
10 13 3
3 14 0
3 14 3
17
6 1
12 1
1 3
9 3
5 4
14 4
2 5
7 5
10 5
12 9
3 10
5 11
2 12
9 12
4 13
14 13
11 14

50
7 7 0
7 7 3
8 7 0
8 7 1
7 8 2
7 8 3
8 8 1
8 8 2
3 0 1
9 0 1
15 1 2
0 6 2
15 9 2
0 9 2
3 15 1
13 15 1 
6 1 2
6 1 3
12 1 0
12 1 3
1 3 0
1 3 1
9 3 2
9 3 3
5 4 0
5 4 3
14 4 1
14 4 2
2 5 1
2 5 2
7 5 1
7 5 2
10 5 0
10 5 1
12 9 0
12 9 1
3 10 1
3 10 2
5 11 0
5 11 1
2 12 2
2 12 3
9 12 0
9 12 3
4 13 0
4 13 3
14 13 1
14 13 2
11 14 1
11 14 217
6 1
11 2
1 3
13 3
5 4
10 4
2 5
7 5
12 5
3 9
12 9
10 10
1 11
6 12
14 12
2 14
11 14

50
7 7 0
7 7 3
8 7 0
8 7 1
7 8 2
7 8 3
8 8 1
8 8 2
3 0 1
11 0 1
15 5 2
0 6 2
15 9 2
0 13 2
5 15 1
13 15 1 
6 1 2
6 1 3
11 2 1
11 2 2
1 3 0
1 3 1
13 3 0
13 3 1
5 4 0
5 4 3
10 4 2
10 4 3
2 5 1
2 5 2
7 5 1
7 5 2
12 5 0
12 5 3
3 9 0
3 9 1
12 9 0
12 9 3
10 10 1
10 10 2
1 11 2
1 11 3
6 12 1
6 12 2
14 12 0
14 12 1
2 14 0
2 14 3
11 14 2
11 14 317
6 1
14 1
11 2
1 3
5 4
2 5
7 5
13 6
10 7
3 9
13 9
6 11
9 11
1 12
14 13
4 14
10 14

50
7 7 0
7 7 3
8 7 0
8 7 1
7 8 2
7 8 3
8 8 1
8 8 2
3 0 1
9 0 1
15 3 2
0 6 2
15 11 2
0 13 2
6 15 1
11 15 1
6 1 2
6 1 3
14 1 0
14 1 3
11 2 2
11 2 3
1 3 0
1 3 1
5 4 0
5 4 3
2 5 1
2 5 2
7 5 1
7 5 2
13 6 1
13 6 2
10 7 0
10 7 1
3 9 0
3 9 1
13 9 2
13 9 3
6 11 0
6 11 3
9 11 1
9 11 2
1 12 2
1 12 3
14 13 0
14 13 1
4 14 1
4 14 2
10 14 0
10 14 3
